,nATL,Pamb,P1,P2,P3,P4,M1,M2,M3,T1tot,T2tot,T3tot,T4tot,T oil in,T oil out,T water in,T water out,v oil,v water,T1,T2,T3,V1,V2,V3,Rho1,Rho2,Rho3,v1,v2,v3,P1tot,P2tot,P3tot,Pi,PitotV,M1ref,PitotT,M3red,dHtv,"dHis,tv",ETAis,dHisT,Etamech,kappa,kappa ,Qoil,Qwasser,u/c0
25,130930,97.8,89.52,177.00,261.10,98.79,0.2542,0.2542,0.2300,20.0,123.1,599.7,466.2,100.2,109.9,80.1,83.8,1.46,4.61,17.0,121.0,597.4,0.23642,0.16244,0.22009,1.075,1.565,1.045,78.31,65.95,72.90,92.82,180.40,263.9,1.977,1.944,0.2687,2.671,2.5753,104458.2,61522.0,0.589,216777,0.533,1.395,1.332,422.0,1024.8,0.573
26,130990,97.8,92.02,234.00,248.50,98.66,0.2100,0.2100,0.2183,20.0,134.9,600.2,469.0,99.9,108.3,80.1,83.9,1.44,4.59,18.0,134.0,597.9,0.19070,0.10487,0.21961,1.101,2.003,0.994,63.17,42.58,72.74,94.22,235.82,251.1,2.543,2.503,0.2187,2.545,2.5691,116565.6,88131.6,0.756,207456,0.541,1.395,1.332,360.5,1048.0,0.586
27,131020,97.8,93.76,245.10,235.90,98.47,0.1766,0.1766,0.2069,20.1,142.9,600.7,471.6,100.1,108.2,80.1,84.0,1.41,4.59,18.7,142.3,598.4,0.15779,0.08591,0.21939,1.119,2.056,0.943,52.26,34.88,72.67,95.29,246.35,238.4,2.614,2.585,0.1818,2.421,2.5658,124697.7,91700.3,0.735,197622,0.539,1.394,1.332,340.3,1075.6,0.600
28,130920,97.8,94.82,245.90,222.60,98.28,0.1519,0.1519,0.1939,20.0,148.0,598.8,475.1,100.1,108.2,80.0,83.9,1.38,4.61,19.0,147.5,596.6,0.13433,0.07459,0.21743,1.131,2.037,0.892,44.49,30.28,72.02,95.94,246.83,224.9,2.593,2.573,0.1553,2.288,2.5459,130059.5,91128.2,0.701,185886,0.548,1.394,1.332,333.1,1080.2,0.618
29,131010,97.8,95.51,246.90,211.00,98.15,0.1280,0.1280,0.1822,20.1,153.6,600.5,479.6,100.2,108.8,80.0,83.9,1.40,4.60,19.4,153.3,598.3,0.11253,0.06345,0.21597,1.138,2.017,0.844,37.27,25.76,71.53,96.30,247.57,213.1,2.585,2.571,0.1304,2.172,2.5266,135744.4,91064.8,0.671,175581,0.543,1.393,1.332,358.8,1077.9,0.637
30,131030,97.8,96.45,245.90,199.50,98.09,0.1004,0.1004,0.1699,20.0,164.5,600.2,483.9,100.0,109.2,80.1,84.2,1.42,4.62,19.6,164.3,598.1,0.08746,0.05126,0.21294,1.148,1.959,0.798,28.97,20.81,70.53,96.93,246.32,201.5,2.550,2.541,0.1016,2.054,2.4922,147142.8,89746.2,0.610,164009,0.530,1.392,1.332,389.3,1138.1,0.659
31,146980,97.8,89.18,253.60,338.70,98.97,0.2611,0.2611,0.2917,19.9,158.0,600.0,458.1,100.2,111.6,80.1,84.5,1.48,4.60,16.7,156.7,597.8,0.24353,0.12701,0.21528,1.072,2.056,1.355,80.66,51.57,71.31,92.67,256.33,342.1,2.844,2.766,0.2764,3.457,2.5194,140502.5,99118.3,0.705,265524,0.474,1.393,1.332,502.8,1216.1,0.581
32,147040,97.8,90.85,287.60,320.70,98.83,0.2284,0.2284,0.2761,19.9,168.6,600.0,458.6,100.1,111.1,80.1,84.5,1.40,4.60,17.5,167.8,597.8,0.20971,0.10050,0.21520,1.089,2.273,1.283,69.46,40.80,71.28,93.48,289.49,323.9,3.166,3.097,0.2397,3.278,2.5186,151505.9,111952.8,0.739,255740,0.490,1.392,1.332,458.9,1216.1,0.592
33,146960,97.8,92.61,294.50,301.00,98.79,0.2016,0.2016,0.2595,20.0,174.4,599.9,459.1,100.1,110.9,80.0,84.6,1.40,4.61,18.2,173.8,597.7,0.18202,0.08781,0.21548,1.108,2.296,1.204,60.29,35.65,71.37,94.62,295.96,304.0,3.180,3.128,0.2090,3.078,2.5218,157443.7,113123.7,0.719,243962,0.501,1.392,1.332,450.6,1274.1,0.606
34,147000,97.8,93.50,291.50,283.20,98.69,0.1803,0.1803,0.2440,20.0,178.2,599.7,460.4,100.0,110.7,80.1,84.6,1.75,4.61,18.6,177.7,597.5,0.16145,0.08003,0.21529,1.117,2.253,1.133,53.48,32.49,71.31,95.10,292.69,286.1,3.118,3.078,0.1860,2.899,2.5200,161408.4,111249.9,0.689,232548,0.513,1.391,1.332,558.0,1246.4,0.621
35,147000,97.8,94.69,289.60,264.60,98.48,0.1560,0.1560,0.2275,20.0,184.1,599.6,463.3,100.1,110.6,80.1,84.7,1.40,4.63,19.0,183.7,597.4,0.13812,0.07063,0.21482,1.129,2.209,1.059,45.75,28.68,71.15,95.87,290.51,267.3,3.058,3.030,0.1596,2.714,2.5147,167576.5,109437.5,0.653,219854,0.523,1.391,1.332,438.1,1279.7,0.638
